Company Name,Headquarter City,Headquarter Country,Founding Year,Website URL,Public / Private Status,Established / Startup Status,ADC Specialty,Acquisition Status,Total # drugs,# Preclinical drugs,# Phase 1 drugs,# Phase 2 drugs,# Phase 3 drugs,# Approved drugs,# Undisclosed drugs,Total # trials,# Phase 1 trials,# Phase 2 trials,# Phase 3 trials,# Co-developers,Co-developers,# Countries
"Merck KGaA, Darmstadt, Germany",Darmstadt,Germany,1668,https://www.merckgroup.com/,Public,Established,-,-,3,0,1,0,2,0,0,4,2,2,0,5,Nektar Therapeutics | VelosBio | EMD Serono | Merck Sharp & Dohme | GILEAD,24
Merck Sharp & Dohme,Rahway,United States,1891,https://www.msd.com,Public,Established,-,-,3,0,0,0,2,0,1,32,3,21,8,14,"Genmab | AstraZeneca | DAIICHI SANKYO | Endocyte | IMMUNOGEN | VelosBio | GOG Foundation | Merck KGaA, Darmstadt, Germany | RemeGen | Seagen | Strata Oncology | Astellas | Pfizer | GILEAD",54
Millennium,Cambridge,United States,1993,-,Acquired,Established,Antibody developer,Acquired by Takeda in 2008,3,0,0,3,0,0,0,23,7,12,3,3,Takeda | Seagen | Samsung Medical Center,1
NanoValent,Bozeman,United States,2015,https://www.nanovalent.com,Private,Startup,ADC Platform Technology,-,3,0,0,1,2,0,0,0,0,0,0,0,,58
NBE Therapeutics,Basel,Switzerland,2012,https://www.nbe-therapeutics.com,Private,Startup,ADC Platform Technology,-,3,0,0,1,0,0,2,0,0,0,0,0,,0
Nordic Nanovector,Oslo,Norway,2009,https://www.nordicnanovector.com,Acquired,Startup,ADC Platform Technology,-,3,0,0,1,0,1,1,1,0,1,0,4,Endocyte | Y-Biologics | Novartis | Legochem,24
Regeneron,Tarrytown,United States,1988,https://www.regeneron.com,Public,Established,Antibody developer,-,3,1,0,1,0,0,1,2,0,1,1,1,ADC Therapeutics,1
Shanghai Hansoh Biomedical,Shanghai,China,2004,https://www.hansoh.cn/en/,Public,Established,Antibody developer,-,3,0,0,3,0,0,0,6,3,3,0,0,,1
Shanghai Miracogen,Shanghai,China,2014,https://www.miracogen.com,Private,Startup,ADC Platform Technology,-,3,0,0,1,2,0,0,10,1,6,3,1,Lepu Biopharma,72
Almac Discovery,Craigavon,United Kingdom,2002,https://www.almacgroup.com,Private,Startup,-,-,2,2,0,0,0,0,0,0,0,0,0,0,,0
Alteogen,Daejeon,South Korea,2008,http://www.alteogen.com/en/,Public,Startup,-,-,2,1,1,0,0,0,0,1,1,0,0,1,3SBIO,1
Angiex,Cambridge,United States,2015,https://www.angiex.com,Private,Startup,-,-,2,1,1,0,0,0,0,1,1,0,0,1,Pfizer,1
BioAtla,California,United States,2007,https://www.bioatla.com,Public,Startup,ADC Platform Technology,-,2,0,0,2,0,0,0,4,0,4,0,1,Sinobioway Biomedicine,8
Biogen,Cambridge,United States,1978,https://www.biogen.com,Public,Established,-,-,2,0,1,0,0,0,1,1,1,0,0,1,Schering,1
Celldex,New Jersey,United States,2004,https://www.celldex.com,Public,Established,antibody developer,-,2,0,0,1,1,0,0,2,0,2,0,0,,9
Centrose,Madison,United States,2007,https://www.centrosepharma.com/,Private,Startup,-,-,2,2,0,0,0,0,0,0,0,0,0,1,Wisconsin Alumni Research Foundation - WARF,0
Duality Biologics,Shanghai,China,2020,https://www.dualitybiologics.com/,Private,Startup,-,-,2,0,0,0,1,0,1,1,0,0,1,1,BioNTech,0
Elevation Oncology,Boston,United States,2019,https://www.elevationoncology.com,Private,Startup,-,-,2,0,2,0,0,0,0,1,1,0,0,1,CSPC Pharmaceutical Group,2
EMD Serono,Rockland,United States,1981,https://www.emdserono.com/,Public,Established,-,-,2,0,1,0,1,0,0,3,2,1,0,3,"GILEAD | Merck KGaA, Darmstadt, Germany | Nektar Therapeutics",24
Formation Biologics (Forbius),Quebec,Canada,2011,https://www.forbius.com,Acquired,Startup,ADC Platform Technology,-,2,1,0,1,0,0,0,0,0,0,0,0,,1
Ganymed,Mainz,Germany,2001,-,Acquired,Startup,-,Acquired by Astellas Pharma in 2016,2,2,0,0,0,0,0,0,0,0,0,1,Astellas,0
Igenica,Burlingame,United States,2009,https://www.pierre-fabre.com/en,Acquired,Startup,-,Acquired by Xencor in 2015,2,1,0,0,0,0,1,0,0,0,0,0,,0
ImmunoBiochem,Ontario,Canada,2007,https://www.immunobiochem.com/,Private,Startup,-,-,2,2,0,0,0,0,0,0,0,0,0,0,,0
Jiangsu HengRui Medicine,Lianyungang,China,1970,https://www.hrs.com.cn,Public,Established,ADC Platform Technology,-,2,0,0,1,0,0,1,4,1,1,2,2,BeiGene | RemeGen,1
Kolltan,New Haven,United States,2008,https://ir.celldex.com/news-releases/news-release-details/celldex-therapeutics-completes-acquisition-kolltan,Acquired,Startup,-,Acquired by Celldex Therapeutics in 2016,2,2,0,0,0,0,0,0,0,0,0,0,,0
Medarex,Princeton,United States,1987,-,Acquired,Established,Antibody developer,Acquired by Bristol-Myers Squibb in 2009,2,0,1,1,0,0,0,0,0,0,0,1,Bristol Myers Squibb,1
MediLink,Hangzhou,China,2020,-,Private,Startup,ADC Platform Technology,-,2,0,0,2,0,0,0,4,1,3,0,0,,2
Multitude,Shanghai,China,2019,https://www.multitudetherapeutics.info/,Private,Startup,Antibody Developer,-,2,0,2,0,0,0,0,1,1,0,0,0,,2
Mundipharma EDO,Cambridge,United Kingdom,2008,https://www.mundipharma.com,Private,Startup,-,-,2,0,0,0,0,0,2,0,0,0,0,0,,0
OBI Pharma,Taipei,Taiwan,2002,https://www.obipharma.com,Public,Startup,ADC Platform Technology,-,2,0,0,2,0,0,0,1,0,1,0,1,Biosion (China),1
Oncomatryx,Bilbao,Spain,2009,https://oncomatryx.com/,Private,Startup,-,-,2,1,1,0,0,0,0,1,1,0,0,0,,2
ProfoundBio,Suzhou,China,2019,https://www.profoundbio.com,Acquired,Startup,ADC Platform Technology,-,2,0,0,1,0,0,1,1,0,1,0,0,,2
Rinat,South San Francisco,United States,2001,https://www.rinatcorp.com/,Acquired,Startup,Antibody Developer,Acquired by Pfizer in 2006,2,0,0,0,0,0,2,0,0,0,0,2,Pfizer | WYETH,0
Shanghai Fosun,Shanghai,China,1994,https://www.fosunpharma.com,Public,Established,-,-,2,0,0,0,2,0,0,1,0,0,1,1,Legochem,72
Shanghai Henlius,Shanghai,China,2010,https://www.henlius.com,Public,Startup,-,-,2,0,2,0,0,0,0,2,2,0,0,0,,1
Sorrento Therapeutics,California,United States,1989,https://www.sorrentotherapeutics.com,Public,Startup,ADC Platform Technology,-,2,0,0,1,0,0,1,3,1,2,0,0,,2
Tarveda,Watertown,United States,2011,-,Acquired,Startup,ADC Platform Technology,Acquired by Centrose in 2022,2,0,0,2,0,0,0,0,0,0,0,0,,0
Wilex,Munich,Germany,1997,-,Public,Established,ADC Platform Technology,Subsumed within Heidelberg Pharma,2,2,0,0,0,0,0,0,0,0,0,2,MabVax | Heidelberg Pharma,0
Xenikos,Nijmegen,Netherlands,2009,https://www.xenikos.com,Private,Startup,-,-,2,0,0,0,2,0,0,0,0,0,0,0,,0
Y-Biologics,-,South Korea,2007,https://ybiologics.com/en/,Private,Startup,Antibody Developer,-,2,0,0,0,0,0,2,0,0,0,0,2,Nordic Nanovector | Legochem,0
Zymeworks,Vancouver,Canada,2003,https://www.zymeworks.com,Public,Startup,Antibody developer,-,2,0,1,1,0,0,0,0,0,0,0,3,Exelixis | Iconic | BeiGene,10
3SBIO,Shenyang,China,1993,http://www.3sbio.com/,Public,Established,-,-,1,0,1,0,0,0,0,0,0,0,0,1,Alteogen,1
A&G,Columbia,United States,2000,http://agpharma.com/,Private,-,Antibody Developer,-,1,0,0,0,0,0,1,1,1,0,0,0,,0
Active Biotech AB,Lund,Sweden,1998,https://www.activebiotech.com/,Public,Established,Antibody Developer,-,1,0,0,0,1,0,0,3,2,0,1,0,,9
Adcentrx,"San Diego, CA",United States,2021,https://www.adcentrx.com/,Private,-,ADC Platform Technology,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
Adolor Corp,Exton,United States,1994,-,Acquired,Established,-,Acquired by Cubist Pharmaceuticals in 2011,1,1,0,0,0,0,0,0,0,0,0,0,,0
Affinicon,Aarhus,Denmark,2013,http://www.affinicon.com/,Private,-,ADC Platform Technology,-,1,0,0,0,1,0,0,0,0,0,0,0,,35
Alethia,Montreal,Canada,2002,http://alethiabio.com/,Private,-,Antibody Developer,-,1,0,0,0,0,0,1,0,0,0,0,0,,0
Alfasigma,Bologna,Italy,1948,https://www.alfasigma.com/,Private,Established,-,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
Alphamab Oncology,Suzhou,China,2011,https://www.alphamaboncology.com/,Public,Startup,Antibody Developer,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
Antengene,Shanghai,China,2017,https://www.antengene.com/,Public,Startup,Antibody Developer,-,1,0,1,0,0,0,0,0,0,0,0,0,,0
Asana BioSciences,Bridgewater,United States,2014,www.asanabiosciences.com,Private,-,ADC Platform Technology,-,1,0,1,0,0,0,0,0,0,0,0,0,,1
Aspyrian,"San Diego, CA",United States,2010,,Private,-,Antibody Developer,-,1,0,0,0,1,0,0,0,0,0,0,1,Rakuten Medical,0
Bicycle Therapeutics,Cambridge,United Kingdom,2009,https://bicycletherapeutics.com/,Public,Startup,ADC Platform Technology,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
BiOneCure Therapeutics Inc,Maryland,United States,2017,https://www.bionecure.com/,Private,-,Antibody Developer,-,1,0,0,1,0,0,0,1,0,1,0,0,,1
