Company Name,Headquarter City,Headquarter Country,Founding Year,Website URL,Public / Private Status,Established / Startup Status,ADC Specialty,Acquisition Status,Total # drugs,# Preclinical drugs,# Phase 1 drugs,# Phase 2 drugs,# Phase 3 drugs,# Approved drugs,# Undisclosed drugs,Total # trials,# Phase 1 trials,# Phase 2 trials,# Phase 3 trials,# Co-developers,Co-developers,# Countries
Peregrine Pharmaceuticals,Tustin,United States,1981,https://www.peregrineinc.com/,Public,Established,Antibody Developer,-,1,0,0,0,0,0,1,0,0,0,0,0,,0
Pharm-Olam International,Houston,United States,1994,https://www.pharm-olam.com/,Private,Established,-,-,1,0,0,0,1,0,0,1,0,1,0,1,Helix BioPharma,2
PharmaMar,Madrid,Spain,1986,https://pharmamar.com/,Public,Established,ADC Platform Technology,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
Pierre Fabre,Castres,France,1962,https://www.pierre-fabre.com/,Private,Established,-,-,1,0,0,1,0,0,0,1,0,1,0,1,Roche,2
Pyramid Biosciences,Boston,United States,2018,https://pyramidbio.com/,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,1,"GeneQuantum (Suzhou, China)",1
Pyxis Oncology,Cambridge,United States,2018,https://www.pyxisoncology.com/,Public,Startup,Antibody Developer,-,1,0,1,0,0,0,0,0,0,0,0,0,,0
Rakuten Medical,Tokyo,Japan,2005,https://www.rakuten-med.com/,Private,Startup,Antibody Developer,-,1,0,0,0,1,0,0,0,0,0,0,1,Aspyrian,0
Rongchang,Chongqing,China,1993,https://www.rongchang.com/index.php?v=listing&cid=32,Private,-,-,-,1,0,0,1,0,0,0,0,0,0,0,1,MabPlex,0
Samsung Medical Center,Seoul,South Korea,1994,https://www.samsunghospital.com/,Public,Established,ADC Platform Technology,-,1,0,0,0,0,0,1,1,0,1,0,2,Millennium | Legochem,0
Schering,Berlin,Germany,1885,https://www.bayer.com/,Acquired,Established,-,Acquired by Bayer in 2006,1,0,0,0,0,0,1,0,0,0,0,1,Biogen,0
Seasun Biomaterials,Hangzhou,China,2014,https://www.seasunbio.com/,Private,Startup,-,-,1,0,0,0,0,0,1,0,0,0,0,1,Legochem,0
Shanghai Institute Of Biological Products,Shanghai,China,-,-,Public,Established,-,-,1,0,1,0,0,0,0,1,1,0,0,0,,0
Shanghai Junshi,Shanghai,China,2012,https://www.junshipharma.com/,Public,Startup,Antibody Developer,-,1,0,1,0,0,0,0,0,0,0,0,0,,0
Shanghai Pharmaceuticals Holding,Shanghai,China,1994,https://www.sphchina.com/,Public,Established,-,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
Shenogen Pharma,Beijing,China,-,-,Private,-,-,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
Siamab,Newton,United States,2012,https://www.siamab.com/,Private,Startup,Antibody Developer,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
Sichuan Baili,Chengdu,China,-,-,Private,-,-,-,1,0,1,0,0,0,0,0,0,0,0,1,Systimmune,0
Silverback,Seattle,United States,2016,https://silverbacktx.com/,Public,Startup,Antibody Developer,-,1,0,0,0,1,0,0,0,0,0,0,0,,53
Sino Biopharmaceutical,Hong Kong,China,1997,https://www.sinobiopharm.com/,Public,Established,-,-,1,0,1,0,0,0,0,0,0,0,0,0,,1
Sinobioway Biomedicine,Beijing,China,-,-,Private,-,-,-,1,0,0,1,0,0,0,0,0,0,0,1,BioAtla,8
SOTIO Bio,Prague,Czech Republic,2010,https://www.sotio.com/,Private,Startup,Antibody Developer,-,1,0,0,0,1,0,0,3,0,2,1,0,,5
"Synthon Pharmaceuticals Durham, NC",Durham,United States,1991,https://www.synthon.com/,Acquired,-,-,Acquired by Synthon Holding B.V. in 2015,1,0,0,0,1,0,0,0,0,0,0,1,Byondis,58
Tallac Therapeutics,Burlingame,United States,2018,https://tallactherapeutics.com/,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,1,0,1,0,0,,2
Tanabe Research Laboratories USA,San Diego,United States,-,https://www.tanabe-usa.com/,Private,Established,Antibody Developer,-,1,0,1,0,0,0,0,0,0,0,0,3,Open Innovation Partners | AstraZeneca | MedImmune,1
Theratechnologies,Montreal,Canada,1993,https://www.theratech.com/,Public,Established,Antibody Developer,-,1,0,0,0,1,0,0,0,0,0,0,0,,53
TOT Biopharm,Suzhou,China,2010,https://www.totbiopharm.com/,Public,Established,Antibody Developer,-,1,0,0,0,1,0,0,0,0,0,0,0,,0
Triphase Accelerator Corporation,Toronto,Canada,2011,https://triphaseco.com/,Private,Startup,Antibody Developer,-,1,0,1,0,0,0,0,1,1,0,0,1,Catalent,2
Tubulis,Munich,Germany,2019,https://tubulis.com/,Private,Startup,ADC Platform Technology,-,1,0,0,1,0,0,0,1,0,1,0,0,,1
Turning Point therapeutics,San Diego,United States,2013,https://www.tptherapeutics.com/,Acquired,Startup,Antibody Developer,Acquired by Bristol Myers Squibb in 2021,1,0,0,1,0,0,0,0,0,0,0,1,LaNova,0
VelosBio,San Diego,United States,2017,https://velosbio.com/,Acquired,Startup,Antibody Developer,Acquired by Merck & Co. in 2020,1,0,0,0,1,0,0,0,0,0,0,2,"Merck KGaA, Darmstadt, Germany | Merck Sharp & Dohme",0
"Vincerx Pharma, Inc",Palo Alto,United States,2017,https://vincerx.com/,Public,Startup,Antibody Developer,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
Visterra,Cambridge,United States,2008,https://www.visterrainc.com/,Acquired,Startup,Antibody Developer,Acquired by Otsuka Pharmaceutical in 2018,1,1,0,0,0,0,0,0,0,0,0,0,,0
Westlake Therapeutics,Hangzhou,China,2019,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.westlaketpx.com%2F&psig=AOvVaw3huPW8iL6H7uiEm8Xgbv4e&ust=1720252394662000&source=images&cd=vfe&opi=89978449&ved=0CAQQn5wMahcKEwiA7r_YtY-HAxUAAAAAHQAAAAAQBA,Private,Startup,ADC Platform Technology,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
Xuanzhu Biopharm,Beijing,China,2002,-,Private,Startup,ADC Platform Technology,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
ZielBio,Charlottesville,United States,2010,https://www.zielbio.com,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,0,,0
Zova Biotherapeutics,Hangzhou,China,2020,-,Private,Startup,-,-,1,0,0,0,0,0,1,0,0,0,0,1,Concortis,0
